Entry,Urine,Plasma,Serum,Max,DeltaUrine,DeltaPlasma,DeltaSerum,FlagUrine,FlagPlasma,FlagSerum
Q9N2D5,24.4,19.8,20.9,24.4,0,4.6,3.5,0,1,1
A0A5F5XUR6,25.3,17,16.8,25.3,0,8.3,8.5,0,1,1
A0A5F5XGA1,26.5,22.2,21.6,26.5,0,4.3,4.9,0,1,1
A0A5F5XDS7,17,18,18.4,18.4,1.4,0.4,0,1,0,0
M3VVL7,19.6,20.3,20,20.3,0.7,0,0.3,0,0,0
A0A337SNL3,21.7,19.8,21.4,21.7,0,1.9,0.3,0,1,0
A0A2I2UCJ0,21.6,18.6,18.3,21.6,0,3,3.3,0,1,1
M3W2Z1,27.5,32.1,32,32.1,4.6,0,0.1,1,0,0
A0A2I2U4I8,18,19.5,19.5,19.5,1.5,0,0,1,0,0
A0A337S915,23.5,21.8,22.3,23.5,0,1.7,1.2,0,1,1
M3WHB4,20.3,19.5,19.4,20.3,0,0.8,0.9,0,0,0
A0A337SH50,20.8,18.3,19.1,20.8,0,2.5,1.7,0,1,1
A0A5F5XDL4,19.4,17.8,17,19.4,0,1.6,2.4,0,1,1
A0A2I2UI95,21.1,19.3,19.6,21.1,0,1.8,1.5,0,1,1
A0A337SD81,20.9,17.5,17.6,20.9,0,3.4,3.3,0,1,1
A0A2I2UFV4,23.1,22.1,22.2,23.1,0,1,0.9,0,1,0
M3WQ38,24.5,19.6,19.7,24.5,0,4.9,4.8,0,1,1
A0A5F5XWZ9,23.7,20.2,20.4,23.7,0,3.5,3.3,0,1,1
M3VWS9,25.9,23.6,25.5,25.9,0,2.3,0.4,0,1,0
A0A2I2UZ31,17.8,16.7,17.2,17.8,0,1.1,0.6,0,1,0
M3WEU6,21.8,20.4,21,21.8,0,1.4,0.8,0,1,0
A0A2I2UF05,15.6,13.3,12.7,15.6,0,2.3,2.9,0,1,1
M3W803,14.8,16.9,17.3,17.3,2.5,0.4,0,1,0,0
A0A2I2U1V5,26.2,21.9,22.6,26.2,0,4.3,3.6,0,1,1
O19015,25.3,22.6,21.2,25.3,0,2.7,4.1,0,1,1
A0A2I2URA0,24.7,22.4,22.7,24.7,0,2.3,2,0,1,1
A0A2I2U855,16.8,19.3,19.7,19.7,2.9,0.4,0,1,0,0
A0A5F5XL86,19.6,19.2,18.7,19.6,0,0.4,0.9,0,0,0
M3X3M9,19.4,19.5,18.6,19.5,0.1,0,0.9,0,0,0
M3WHT1,29.2,21.3,21.5,29.2,0,7.9,7.7,0,1,1
A0A337S5X4,20.6,15.8,16.1,20.6,0,4.8,4.5,0,1,1
A0A2I2UZP1,22.5,17.3,17.3,22.5,0,5.2,5.2,0,1,1
A0A2I2U673,23.6,22.2,23,23.6,0,1.4,0.6,0,1,0
A0A2I2U651,19.2,15.9,15.4,19.2,0,3.3,3.8,0,1,1
A0A2I2U1S9,22.5,17.3,17.3,22.5,0,5.2,5.2,0,1,1
M3WU86,22.8,20.2,19.6,22.8,0,2.6,3.2,0,1,1
M3X5T9,20.7,19,19,20.7,0,1.7,1.7,0,1,1
A0A2I2U2P0,22.3,18.4,19.4,22.3,0,3.9,2.9,0,1,1
A0A2I2UXE2,20.4,20.2,22,22,1.6,1.8,0,1,1,0
A0A5F5XZA0,20.9,20.4,19.9,20.9,0,0.5,1,0,0,0
M3VUR6,27.5,20.8,21.2,27.5,0,6.7,6.3,0,1,1
A0A5F5XP94,25.6,29.2,29.5,29.5,3.9,0.3,0,1,0,0
M3WCA0,22.1,18.7,19,22.1,0,3.4,3.1,0,1,1
A0A5F5XGH7,23.3,24.9,25.5,25.5,2.2,0.6,0,1,0,0
A0A5F5XIK0,26.2,22.9,23.2,26.2,0,3.3,3,0,1,1
A0A5F5XJV1,19.4,17.9,18.2,19.4,0,1.5,1.2,0,1,1
A0A2I2U027,22.2,21.6,21.2,22.2,0,0.6,1,0,0,0
M3WSF8,21.6,18.9,17.3,21.6,0,2.7,4.3,0,1,1
A0A2I2U6L5,24.4,20.2,22,24.4,0,4.2,2.4,0,1,1
A0A337S4V2,18.4,17.3,17.5,18.4,0,1.1,0.9,0,1,0
A0A5F5XH67,23.1,19.8,19.6,23.1,0,3.3,3.5,0,1,1
M3WBH7,23,20.7,20.4,23,0,2.3,2.6,0,1,1
A0A337S9I7,21.3,18.8,18.6,21.3,0,2.5,2.7,0,1,1
A0A337ST09,19.4,19.6,19.5,19.6,0.2,0,0.1,0,0,0
A0A5F5XQW6,24.2,26.6,27.1,27.1,2.9,0.5,0,1,0,0
A0A5F5XTB2,21.9,25,25.2,25.2,3.3,0.2,0,1,0,0
A0A337S764,20.9,21.2,20.9,21.2,0.3,0,0.3,0,0,0
A0A2I2UBJ4,16.6,16.1,15.5,16.6,0,0.5,1.1,0,0,1
A0A5F5XQN9,21.9,26.1,26.1,26.1,4.2,0,0,1,0,0
M3WUB8,21.1,19.5,19.6,21.1,0,1.6,1.5,0,1,1
A0A2I2UTY3,18.8,15.8,14.7,18.8,0,3,4.1,0,1,1
A0A2I2UB41,20.1,17.4,17.6,20.1,0,2.7,2.5,0,1,1
A0A2I2UI30,26,19.7,20,26,0,6.3,6,0,1,1
A0A2I2UII4,19.2,18,19.2,19.2,0,1.2,0,0,1,0
A0A2I2V5E5,21.9,28.3,28.2,28.3,6.4,0,0.1,1,0,0
A0A5F5XWC4,22.9,23.1,23.1,23.1,0.2,0,0,0,0,0
A0A5F5XTI2,22.1,18.4,18.2,22.1,0,3.7,3.9,0,1,1
A0A2I2V346,23.8,19.3,19.9,23.8,0,4.5,3.9,0,1,1
A0A2I2UTS2,26.8,28.1,28.5,28.5,1.7,0.4,0,1,0,0
A0A337SJ23,19.4,16.7,17.7,19.4,0,2.7,1.7,0,1,1
A0A337SLL9,20.3,17.4,18.1,20.3,0,2.9,2.2,0,1,1
A0A2I2U8R6,22.5,17.7,18.7,22.5,0,4.8,3.8,0,1,1
A0A2I2UUQ5,24,24.4,24.5,24.5,0.5,0.1,0,0,0,0
M3W5G2,21.6,19.5,19.8,21.6,0,2.1,1.8,0,1,1
A0A5F5XR95,16.8,12.4,11.7,16.8,0,4.4,5.1,0,1,1
M3W5G1,19,15.3,16.1,19,0,3.7,2.9,0,1,1
O97524,26.5,20.9,20.9,26.5,0,5.6,5.6,0,1,1
A0A5F5XKM9,22.8,18.8,18.6,22.8,0,4,4.2,0,1,1
A0A337S2X4,16.9,16.5,16.3,16.9,0,0.4,0.6,0,0,0
A0A2I2U2D3,23.2,18.5,19.8,23.2,0,4.7,3.4,0,1,1
A0A2I2USF3,20.9,18.5,17.7,20.9,0,2.4,3.2,0,1,1
A0A2I2UIG2,23.4,25.2,23.4,25.2,1.8,0,1.8,1,0,1
M3WSM7,22.7,18.3,18.1,22.7,0,4.4,4.6,0,1,1
A0A2I2UIZ2,23.4,24.5,25,25,1.6,0.5,0,1,0,0
M3VUF1,29.5,24,23.4,29.5,0,5.5,6.1,0,1,1
A0A5F5Y062,21.4,25.3,25.3,25.3,3.9,0,0,1,0,0
M3WFU5,16.7,22.5,22.3,22.5,5.8,0,0.2,1,0,0
A0A2I2U3V1,21.1,20.8,20.9,21.1,0,0.3,0.2,0,0,0
A0A2I2UQN2,18.1,17.3,17.9,18.1,0,0.8,0.2,0,0,0
A0A2I2UFL9,24.6,11,11.2,24.6,0,13.6,13.4,0,1,1
A0A024A8A5,22.3,22.8,22.4,22.8,0.5,0,0.4,0,0,0
P07405,24.8,29,30.2,30.2,5.4,1.2,0,1,1,0
P07412,26.1,30.4,31.7,31.7,5.6,1.3,0,1,1,0
A0A2I2U9B2,19.5,16.7,16.5,19.5,0,2.8,3,0,1,1
M3W3P5,25.8,16.4,15.9,25.8,0,9.4,9.9,0,1,1
A0A337S0K9,15.9,21.8,13.5,21.8,5.9,0,8.3,1,0,1
M3WLX7,25.6,20.6,20.9,25.6,0,5,4.7,0,1,1
G4XSV9,26.1,20.6,20.5,26.1,0,5.5,5.6,0,1,1
P49614,25.4,24.1,24.3,25.4,0,1.3,1.1,0,1,1
M3WHB2,24,26.7,26.6,26.7,2.7,0,0.1,1,0,0
A0A337SUG1,21.6,19.1,19.4,21.6,0,2.5,2.2,0,1,1
M3X1M2,25.8,19.8,19.8,25.8,0,6,6,0,1,1
M3X7U8,25.5,21.4,21.6,25.5,0,4.1,3.9,0,1,1
A0A2I2UVJ9,16.7,12.8,10.8,16.7,0,3.9,5.9,0,1,1
A0A2I2UI32,17.5,16.5,16.4,17.5,0,1,1.1,0,1,1
A0A5F5XGD0,30.6,32.2,32.4,32.4,1.8,0.2,0,1,0,0
A0A5F5XBX6,22.2,22.9,22.7,22.9,0.7,0,0.2,0,0,0
A0A5F5Y3T3,19.7,16.9,17,19.7,0,2.8,2.7,0,1,1
A0A2I2UDC4,22.7,18.8,18.8,22.7,0,3.9,3.9,0,1,1
M3WJM9,24.4,26.3,26.4,26.4,2,0.1,0,1,0,0
A0A337S6T1,19.7,19.7,20.1,20.1,0.4,0.4,0,0,0,0
A0A2I2U7X4,23.3,21.5,20.9,23.3,0,1.8,2.4,0,1,1
A0A5F5XWD4,19.1,16.4,16.5,19.1,0,2.7,2.6,0,1,1
M3X6Z7,23,20.6,21.3,23,0,2.4,1.7,0,1,1
M3WFT4,24,22.2,22.3,24,0,1.8,1.7,0,1,1
A0A2I2UZM2,25.2,22.6,22.5,25.2,0,2.6,2.7,0,1,1
A0A5F5XK17,21.3,17.1,16.7,21.3,0,4.2,4.6,0,1,1
M3WXZ4,19.8,17.4,18.6,19.8,0,2.4,1.2,0,1,1
A0A337SEI8,20.2,17.8,17,20.2,0,2.4,3.2,0,1,1
A0A5F5Y6R8,30.1,24.5,24.8,30.1,0,5.6,5.3,0,1,1
M3W0Q9,22.5,17.1,17.9,22.5,0,5.4,4.6,0,1,1
M3WMB7,19.5,18.9,19.7,19.7,0.2,0.8,0,0,0,0
M3VYS9,20.5,14,13.6,20.5,0,6.5,6.9,0,1,1
A0A337SAA4,21.6,19.6,19.7,21.6,0,2,1.9,0,1,1
A0A5F5XBM7,22.6,21.1,21.2,22.6,0,1.5,1.4,0,1,1
A0A337SRM7,22,22.1,22.3,22.3,0.3,0.2,0,0,0,0
M3WBF1,23.3,22.4,22.5,23.3,0,0.9,0.8,0,0,0
A0A337SJL0,24.1,20.7,20.8,24.1,0,3.4,3.3,0,1,1
A0A337SQM4,23.8,20.5,21.2,23.8,0,3.3,2.6,0,1,1
M3W1B8,20.6,18.6,19.5,20.6,0,2,1.1,0,1,1
A0A337SJX9,20.6,15.4,16,20.6,0,5.2,4.6,0,1,1
A0A097HWG4,21.3,18.3,18.5,21.3,0,3,2.8,0,1,1
M3WSA1,27.1,20.2,20.3,27.1,0,6.9,6.8,0,1,1
A0A2I2UFF7,18.1,16.1,15.6,18.1,0,2,2.5,0,1,1
M3XFG7,18.8,17.1,17.5,18.8,0,1.7,1.3,0,1,1
A0A2I2UIQ7,17,23,22.6,23,6,0,0.4,1,0,0
A0A2I2UMR3,19.9,24,23.5,24,4.1,0,0.5,1,0,0
A0A5F5XQ21,24.5,24.1,24.2,24.5,0,0.4,0.3,0,0,0
M3VZ93,20.3,18.5,18.3,20.3,0,1.8,2,0,1,1
A0A337SDJ8,24.2,26.9,26.9,26.9,2.7,0,0,1,0,0
M3W4L2,26.3,20.8,20.9,26.3,0,5.5,5.4,0,1,1
A0A2I2UEZ6,26.9,24,23.8,26.9,0,2.9,3.1,0,1,1
A0A2I2USR5,24.8,27,26.8,27,2.2,0,0.2,1,0,0
A0A337RVY2,19.4,21.3,21,21.3,1.9,0,0.3,1,0,0
A0A2I2UF06,17.9,20.1,19.8,20.1,2.2,0,0.3,1,0,0
M3VUH9,18.8,20.4,20.1,20.4,1.6,0,0.3,1,0,0
A0A2I2U3H1,29.6,21.8,21.9,29.6,0,7.8,7.7,0,1,1
A0A337SLQ6,20.4,17.5,17.6,20.4,0,2.9,2.8,0,1,1
A0A2I2UAS8,24.2,18.7,18.7,24.2,0,5.5,5.5,0,1,1
A0A2I2UBK6,20,18.6,17.5,20,0,1.4,2.5,0,1,1
A0A2I2U7U8,26.1,22.4,22.7,26.1,0,3.7,3.4,0,1,1
A0A2I2UF36,25.9,18.6,18.8,25.9,0,7.3,7.1,0,1,1
A0A2I2UA72,26.3,25.9,26.1,26.3,0,0.4,0.2,0,0,0
A0A337SPR9,18.1,13.3,13.6,18.1,0,4.8,4.5,0,1,1
P41690,21.8,17.9,17.5,21.8,0,3.9,4.3,0,1,1
A0A2I2U0A6,19,15.6,13.8,19,0,3.4,5.2,0,1,1
A0A337S2C8,20.5,13.7,13.8,20.5,0,6.8,6.7,0,1,1
M3X8X7,21.2,18.3,19.3,21.2,0,2.9,1.9,0,1,1
A0A337S1N7,23.4,23.2,23.6,23.6,0.2,0.4,0,0,0,0
A0A5F5XF39,19.3,17.1,16.8,19.3,0,2.2,2.5,0,1,1
A0A337S505,20.1,18.2,18.4,20.1,0,1.9,1.7,0,1,1
M3VZN9,16,10,10.2,16,0,6,5.8,0,1,1
M3W832,20.7,22.3,22.3,22.3,1.6,0,0,1,0,0
M3XDA8,17.5,18.3,18.9,18.9,1.4,0.6,0,1,0,0
A0A337SRV8,16.5,10.6,10.9,16.5,0,5.9,5.6,0,1,1
M3X315,26.5,22.2,22.2,26.5,0,4.3,4.3,0,1,1
A0A5F5XEF9,17.7,12.4,11.2,17.7,0,5.3,6.5,0,1,1
A0A2I2UAK7,25,22.1,23.5,25,0,2.9,1.5,0,1,1
A0A5F5Y493,23.7,23.1,22.6,23.7,0,0.6,1.1,0,0,1
A0A2I2USG0,17.3,14,15.1,17.3,0,3.3,2.2,0,1,1
A0A2I2UVP7,17.7,16.6,16.8,17.7,0,1.1,0.9,0,1,0
A0A5F5Y6V1,20,16.7,16.9,20,0,3.3,3.1,0,1,1
P53713,22.4,18.9,19.8,22.4,0,3.5,2.6,0,1,1
A0A222NT34,19.4,15.5,13.4,19.4,0,3.9,6,0,1,1
M3WN59,25.6,27.9,28,28,2.4,0.1,0,1,0,0
A0A337SQW0,25.2,28.7,28.8,28.8,3.6,0.1,0,1,0,0
A0A337SL30,20,25.7,25.7,25.7,5.7,0,0,1,0,0
A0A337SEU6,23.4,27.1,27.1,27.1,3.7,0,0,1,0,0
M3WN60,16.2,19.9,19.3,19.9,3.7,0,0.6,1,0,0
A0A2I2U7R4,26.9,29,29.3,29.3,2.4,0.3,0,1,0,0
M3WEM7,26,24.1,22.4,26,0,1.9,3.6,0,1,1
A0A5F5XMZ9,24.6,18.1,18.9,24.6,0,6.5,5.7,0,1,1
A0A2I2UVC1,22.8,20.2,20.2,22.8,0,2.6,2.6,0,1,1
A0A2I2U9Y7,14.4,16.2,14.4,16.2,1.8,0,1.8,1,0,1
A0A2I2U3Z6,19.9,19.3,18.7,19.9,0,0.6,1.2,0,0,1
A0A2I2UBC8,20,15.9,15.4,20,0,4.1,4.6,0,1,1
A0A337SEF1,23.8,23.2,20.8,23.8,0,0.6,3,0,0,1
A0A5F5XX70,22.8,19.8,19.8,22.8,0,3,3,0,1,1
A0A337SAT8,18,15.6,16.5,18,0,2.4,1.5,0,1,1
A0A5F5XC52,29.3,24.3,24.5,29.3,0,5,4.8,0,1,1
A0A2I2UBN8,22.8,24.7,24.7,24.7,1.9,0,0,1,0,0
A0A2I2UA55,21.9,17.8,17.6,21.9,0,4.1,4.3,0,1,1
A0A337RZ36,19.5,18.2,17.6,19.5,0,1.3,1.9,0,1,1
A0A2I2UIN2,18.1,14.9,14.5,18.1,0,3.2,3.6,0,1,1
A0A2I2U3F2,23.3,19.8,21.1,23.3,0,3.5,2.2,0,1,1
A0A5F5XE91,32.2,27.7,27.9,32.2,0,4.5,4.3,0,1,1
A0A5F5Y533,19.3,16.5,16.7,19.3,0,2.8,2.6,0,1,1
M3VU73,22.4,19.5,19.6,22.4,0,2.9,2.8,0,1,1
A0A2I2U1G6,22.7,15.9,15.2,22.7,0,6.8,7.5,0,1,1
A0A5F5XE96,18.2,12.1,12.1,18.2,0,6.1,6.1,0,1,1
A0A337S5Y7,22,20.5,20.4,22,0,1.5,1.6,0,1,1
A0A337RZN4,17.3,17,17.7,17.7,0.4,0.7,0,0,0,0
Q28889,21.7,20.1,20.4,21.7,0,1.6,1.3,0,1,1
P79169,20.4,15.2,16.2,20.4,0,5.2,4.2,0,1,1
A0A5F5XC24,23.9,25.6,25.5,25.6,1.7,0,0.1,1,0,0
A0A337SQ55,21.3,14.8,15.2,21.3,0,6.5,6.1,0,1,1
A0A2I2U294,31.9,29.8,29.8,31.9,0,2.1,2.1,0,1,1
A0A5F5XVF5,21.6,23.2,22.6,23.2,1.6,0,0.6,1,0,0
A0A2I2UHH3,21.3,16.1,15.9,21.3,0,5.2,5.4,0,1,1
A0A337SC09,20.2,21.7,22.7,22.7,2.5,1,0,1,1,0
M3VXR1,27.2,24.1,24.3,27.2,0,3.1,2.9,0,1,1
A0A337SCP9,27.6,24.3,24.3,27.6,0,3.3,3.3,0,1,1
A0A337SM15,24.8,21.1,21.5,24.8,0,3.7,3.3,0,1,1
A0A5F5XLA0,21.4,19,19.1,21.4,0,2.4,2.3,0,1,1
A0A5F5XF56,20.2,19.5,19,20.2,0,0.7,1.2,0,0,1
A0A5F5Y768,20.3,21,21.1,21.1,0.8,0.1,0,0,0,0
M3VXK4,19.6,20.1,19.8,20.1,0.5,0,0.3,0,0,0
M3VUH3,23.3,22.5,22.9,23.3,0,0.8,0.4,0,0,0
A0A2I2U642,22.7,18.7,19.4,22.7,0,4,3.3,0,1,1
A0A2I2UVW3,25.8,22.7,22.8,25.8,0,3.1,3,0,1,1
M3VUG8,24.3,21.4,21.5,24.3,0,2.9,2.8,0,1,1
M3VUE5,22.6,20.5,20.6,22.6,0,2.1,2,0,1,1
E1AB55,25.2,21.5,21.8,25.2,0,3.7,3.4,0,1,1
M1RGZ2,17.9,19.4,18.4,19.4,1.5,0,1,1,0,0
M3VUF9,25.2,21.5,21.7,25.2,0,3.7,3.5,0,1,1
A0A337S538,24.4,20,20,24.4,0,4.4,4.4,0,1,1
M3VUG7,25.1,21.6,21.8,25.1,0,3.5,3.3,0,1,1
A0A5F5XKG5,25.6,22.7,22.7,25.6,0,2.9,2.9,0,1,1
M3WZD7,20.5,17.5,18.4,20.5,0,3,2.1,0,1,1
A0A5F5XMX8,19.4,15.3,15.7,19.4,0,4.1,3.7,0,1,1
A0A2I2U6T7,23.9,23.2,23.1,23.9,0,0.7,0.8,0,0,0
A0A337SDW1,21.5,21.7,18.1,21.7,0.2,0,3.6,0,0,1
A0A5F5XCK9,17.8,18.6,20.6,20.6,2.8,2,0,1,1,0
A0A5F5XQP4,25,17.7,17.9,25,0,7.3,7.1,0,1,1
A0A5F5XIU1,24.3,17.4,17.5,24.3,0,6.9,6.8,0,1,1
A0A5F5Y366,22.3,23,24.6,24.6,2.3,1.6,0,1,1,0
M3W292,23.9,24.2,23.2,24.2,0.3,0,1,0,0,0
M3WC88,17.5,17,17.7,17.7,0.2,0.7,0,0,0,0
M3WXS7,22.4,20.7,20.2,22.4,0,1.7,2.2,0,1,1
A0A337RYK1,19.8,13.7,12.5,19.8,0,6.1,7.3,0,1,1
A7XPK6,19.2,17.5,17,19.2,0,1.7,2.2,0,1,1
C6GGN9,24.6,20.6,21,24.6,0,4,3.6,0,1,1
A0A337STH0,28.5,22.3,22.6,28.5,0,6.2,5.9,0,1,1
A0A2I2V3S9,17.4,16.4,15.9,17.4,0,1,1.5,0,1,1
A0A5F5XSP5,22,21.4,21.1,22,0,0.6,0.9,0,0,0
A0A337SJA8,21.9,18.3,18.8,21.9,0,3.6,3.1,0,1,1
M3WXB6,20.6,19.6,17.9,20.6,0,1,2.7,0,1,1
A0A5F5Y0Z4,19.3,22.6,22.5,22.6,3.3,0,0.1,1,0,0
A0A5F5XKS1,21.2,23.2,23.3,23.3,2.1,0.1,0,1,0,0
M3XCK7,27.1,21,21.2,27.1,0,6.1,5.9,0,1,1
A0A2I2U572,21,20.6,19.5,21,0,0.4,1.5,0,0,1
A0A2I2UZG1,21.4,17.6,17.7,21.4,0,3.8,3.7,0,1,1
A0A337S8L1,20.3,17.2,17.8,20.3,0,3.1,2.5,0,1,1
A0A2I2U9C6,24,20,19.9,24,0,4,4.1,0,1,1
A0A2I2U4Z0,21.9,15.7,16.3,21.9,0,6.2,5.6,0,1,1
A0A337SRL4,22,18.8,18.1,22,0,3.2,3.9,0,1,1
A0A2I2UMV3,25.6,19.7,19.8,25.6,0,5.9,5.8,0,1,1
A0A5F5XUA4,15.1,17.6,16.7,17.6,2.5,0,0.9,1,0,0
M3WKX0,15.5,19.2,19.4,19.4,3.9,0.2,0,1,0,0
Q9N2C1,18.1,18.6,17.9,18.6,0.5,0,0.7,0,0,0
A0A337SEC0,21.3,21.2,21.5,21.5,0.2,0.3,0,0,0,0
A0A337S4Q5,21.9,22.4,22.3,22.4,0.5,0,0.1,0,0,0
A0A2I2U709,22.8,17.9,17.9,22.8,0,4.9,4.9,0,1,1
A0A337S0D5,20.5,18.8,19.2,20.5,0,1.7,1.3,0,1,1
M3W8K5,20.7,14.3,14.9,20.7,0,6.4,5.8,0,1,1
A0A5F5XGD3,24.5,25.6,25.3,25.6,1.1,0,0.3,1,0,0
A0A5F5XPV2,30.4,21.1,21.2,30.4,0,9.3,9.2,0,1,1
A0A5F5XQ31,30.3,22.1,22.3,30.3,0,8.2,8,0,1,1
A0A5F5XTW1,15,10.7,12.7,15,0,4.3,2.3,0,1,1
A0A5K1VP01,24.2,12.9,12.6,24.2,0,11.3,11.6,0,1,1
M3VU75,28.1,29.8,29.9,29.9,1.8,0.1,0,1,0,0
E5D2Z5,25.8,19.5,20.6,25.8,0,6.3,5.2,0,1,1
M3WJA1,29.8,17.5,17.5,29.8,0,12.3,12.3,0,1,1
A0A5F5XDG7,25.9,29.4,29.5,29.5,3.6,0.1,0,1,0,0
A0A5F5XG49,21.4,26.1,26,26.1,4.7,0,0.1,1,0,0
A0A337S803,22.5,26.9,27,27,4.5,0.1,0,1,0,0
A0A2I2U8D7,21.5,18.5,18.7,21.5,0,3,2.8,0,1,1
A0A2I2UMM1,20,18.6,18.9,20,0,1.4,1.1,0,1,1
A0A2I2UP08,23.1,27.5,27.3,27.5,4.4,0,0.2,1,0,0
M3WP64,19.3,18.3,18,19.3,0,1,1.3,0,1,1
A0A337S8S6,29.2,25.6,25.5,29.2,0,3.6,3.7,0,1,1
A0A5F5XMU9,18.5,19.3,19.1,19.3,0.8,0,0.2,0,0,0
A0A2I2UUI4,24.1,21,20.9,24.1,0,3.1,3.2,0,1,1
A0A337SVW6,21,17.7,17.2,21,0,3.3,3.8,0,1,1
A0A337RWP8,26.1,18.8,18.7,26.1,0,7.3,7.4,0,1,1
A0A2I2UV75,21.1,17.5,17.1,21.1,0,3.6,4,0,1,1
A0A5F5XV52,19.9,15.9,15.8,19.9,0,4,4.1,0,1,1
A0A2I2U4V9,18.8,12.3,12.6,18.8,0,6.5,6.2,0,1,1
M3X2R3,24.3,21.5,21.4,24.3,0,2.8,2.9,0,1,1
A0A5F5XVL7,25.1,18.8,19,25.1,0,6.3,6.1,0,1,1
A0A5F5XTD9,24.2,19.6,19.3,24.2,0,4.6,4.9,0,1,1
A0A5F5XKI3,22,18.5,18.6,22,0,3.5,3.4,0,1,1
A0A2I2UYB0,21.9,16.5,17.1,21.9,0,5.4,4.8,0,1,1
A0A337SM43,21.3,26.1,26.2,26.2,4.9,0.1,0,1,0,0
A0A337SE00,21.8,24.2,26.7,26.7,4.9,2.5,0,1,1,0
A0A2I2U006,19.9,14.1,12.6,19.9,0,5.8,7.3,0,1,1
A0A5F5XZS8,21.9,12.3,13.1,21.9,0,9.6,8.8,0,1,1
A0A5F5XT89,25.1,20.1,19.8,25.1,0,5,5.3,0,1,1
A0A2I2UKK1,28.1,28.7,28.9,28.9,0.8,0.2,0,0,0,0
A0A5F5XFU6,22.2,23.8,24,24,1.8,0.2,0,1,0,0
A0A2I2UT16,25.1,23.8,23.8,25.1,0,1.3,1.3,0,1,1
M3WBI8,20.3,16,17.3,20.3,0,4.3,3,0,1,1
M3W3Q0,21.1,19,16.9,21.1,0,2.1,4.2,0,1,1
A0A5F5XEY9,26.5,22.1,21.9,26.5,0,4.4,4.6,0,1,1
A0A2I2UXL4,22.2,25,26.2,26.2,4,1.2,0,1,1,0
A0A2I2U6J8,18.8,22.7,24.1,24.1,5.3,1.4,0,1,1,0
M3WVZ4,17,20.9,20.6,20.9,3.9,0,0.3,1,0,0
A0A2I2U232,23.5,23.4,23.6,23.6,0.1,0.2,0,0,0,0
A0A2I2U5B2,26.6,17.2,17.5,26.6,0,9.4,9.1,0,1,1
A0A2I2U227,30.5,23.2,23.7,30.5,0,7.3,6.8,0,1,1
A0A5F5XBZ0,21.3,17.8,18.2,21.3,0,3.5,3.1,0,1,1
A0A5F5Y107,20,19.2,19.4,20,0,0.8,0.6,0,0,0
A0A337SQ74,23.2,18,18.7,23.2,0,5.2,4.5,0,1,1
A0A5F5XCJ2,24.3,14.9,15.3,24.3,0,9.4,9,0,1,1
A0A5F5XZ26,26,16.4,16.7,26,0,9.6,9.3,0,1,1
A0A5F5XEP4,16.1,21,20.7,21,4.9,0,0.3,1,0,0
A0A2I2UIM4,22.1,19.1,19.7,22.1,0,3,2.4,0,1,1
A0A2I2UFN2,12.9,14.6,15.2,15.2,2.3,0.6,0,1,0,0
A0A5F5XD04,26.4,24.3,24.9,26.4,0,2.1,1.5,0,1,1
A0A2I2U7X7,21.8,20,19.8,21.8,0,1.8,2,0,1,1
A0A337S014,23.7,20.4,19.9,23.7,0,3.3,3.8,0,1,1
A0A2I2UYG1,19,16.5,17.3,19,0,2.5,1.7,0,1,1
A0A5F5XH25,21.8,16,17.4,21.8,0,5.8,4.4,0,1,1
A0A5F5XJG5,19,21.1,23,23,4,1.9,0,1,1,0
A0A5F5XI37,26.5,29.2,30,30,3.5,0.8,0,1,0,0
A0A337SF46,25,18.6,19.4,25,0,6.4,5.6,0,1,1
A0A5F5XQF5,20.6,17.9,17.4,20.6,0,2.7,3.2,0,1,1
A0A337S103,21.5,14.9,14.4,21.5,0,6.6,7.1,0,1,1
M3XB79,16.7,18.4,18.4,18.4,1.7,0,0,1,0,0
A0A2I2V287,22.2,14.6,14.8,22.2,0,7.6,7.4,0,1,1
A0A5F5XP31,18.5,10,10,18.5,0,8.5,8.5,0,1,1
A0A2I2UAR3,24.4,18.5,17.9,24.4,0,5.9,6.5,0,1,1
M3WFA5,19.5,19.6,20.2,20.2,0.7,0.6,0,0,0,0
M3WB92,23.1,20.6,20.5,23.1,0,2.5,2.6,0,1,1
A0A337S1P2,28.6,26.8,26.9,28.6,0,1.8,1.7,0,1,1
M3VU91,23.2,19.2,18.6,23.2,0,4,4.6,0,1,1
M3W5B5,30.2,26.9,26.7,30.2,0,3.3,3.5,0,1,1
A0A2I2UQB6,28.7,23.2,22.1,28.7,0,5.5,6.6,0,1,1
M3W2W3,22.6,25,25.2,25.2,2.6,0.2,0,1,0,0
A0A5F5Y4L2,21.8,20.4,20.3,21.8,0,1.4,1.5,0,1,1
M3X588,18.8,16.1,17.9,18.8,0,2.7,0.9,0,1,0
M3X167,23.5,15.7,16.2,23.5,0,7.8,7.3,0,1,1
M3W4V0,21.7,16.9,17,21.7,0,4.8,4.7,0,1,1
M3X2H7,21.7,16.9,17,21.7,0,4.8,4.7,0,1,1
A0A2I2V4D2,20.9,12.8,15.2,20.9,0,8.1,5.7,0,1,1
A0A2I2UKX6,25.9,19.8,19.8,25.9,0,6.1,6.1,0,1,1
A0A5F5XMF4,20.5,15.1,16,20.5,0,5.4,4.5,0,1,1
A0A5F5XBY8,15.3,16.1,16,16.1,0.8,0,0.1,0,0,0
